code,year,color,id,name
AND,1995,"rgb(32,123,100)",'020,Andorra
ARG,1995,"rgb(26,55,174)",'032,Argentina
AUS,1995,"rgb(49,48,158)",'036,Australia
AUT,1995,"rgb(6,229,20)",'040,Austria
BDI,1995,"rgb(56,134,65)",'108,Burundi
BEL,1995,"rgb(7,203,45)",'056,Belgium
BFA,1995,"rgb(42,85,129)",'854,Burkina
BGD,1995,"rgb(55,41,158)",'050,Bangladesh
BLZ,1995,"rgb(2,13,239)",'084,Belize
BMU,1995,"rgb(0,2,253)",'060,Bermuda
BOL,1995,"rgb(5,41,209)",'068,Bolivia
BRA,1995,"rgb(13,63,179)",'076,Brazil
CAF,1995,"rgb(12,148,95)",'140,Central African Republic
CAN,1995,"rgb(6,6,244)",'124,Canada
CHE,1995,"rgb(7,197,52)",'756,Switzerland
CHL,1995,"rgb(21,50,184)",'152,Chile
CIV,1995,"rgb(24,126,105)",'384,C?te d'Ivoire
CMR,1995,"rgb(42,108,105)",'120,Cameroon
COG,1995,"rgb(1,18,236)",'178,Republic of the Congo
COL,1995,"rgb(4,38,213)",'170,Colombia
COM,1995,"rgb(97,37,121)",'174,The Comoros
CRI,1995,"rgb(4,24,226)",'188,Costa Rica
CYP,1995,"rgb(19,100,135)",'196,Cyprus
CZE,1995,"rgb(4,232,18)",'203,Czech Republic
DMA,1995,"rgb(3,17,235)",'212,Dominica
DNK,1995,"rgb(11,205,39)",'208,Denmark
DZA,1995,"rgb(16,56,183)",'012,Algeria
ECU,1995,"rgb(3,26,226)",'218,Ecuador
EGY,1995,"rgb(18,74,163)",'818,Egypt
ESP,1995,"rgb(17,174,63)",'724,Spain
EST,1995,"rgb(6,194,55)",'233,Estonia
ETH,1995,"rgb(17,130,108)",'231,Ethiopia
FIN,1995,"rgb(16,161,78)",'246,Finland
FRA,1995,"rgb(14,175,66)",'250,France
GBR,1995,"rgb(8,136,111)",'826,Great Britain (United Kingdom; England)
GIN,1995,"rgb(14,41,200)",'324,Guinea
GLP,1995,"rgb(28,108,120)",'312,Guadeloupe
GMB,1995,"rgb(89,108,58)",'270,Gambia
GRC,1995,"rgb(11,207,37)",'300,Greece
GRD,1995,"rgb(3,12,239)",'308,Grenada
GRL,1995,"rgb(19,105,131)",'304,Greenland
GTM,1995,"rgb(4,25,226)",'320,Guatemala
GUF,1995,"rgb(23,103,129)",'254,French Guiana
HKG,1995,"rgb(169,15,71)",'344,Hong Kong
HND,1995,"rgb(2,34,219)",'340,Honduras
HRV,1995,"rgb(6,223,26)",'191,Croatia
HTI,1995,"rgb(0,17,238)",'332,Haiti
HUN,1995,"rgb(5,224,27)",'348,Hungary
IDN,1995,"rgb(45,58,153)",'360,Indonesia
IND,1995,"rgb(19,84,153)",'356,India
IRL,1995,"rgb(5,119,130)",'372,Ireland
ISL,1995,"rgb(8,135,112)",'352,Iceland
ISR,1995,"rgb(4,64,187)",'376,Israel
ITA,1995,"rgb(15,181,59)",'380,Italy
JOR,1995,"rgb(32,98,126)",'400,Jordan
JPN,1995,"rgb(51,30,174)",'392,Japan
KAZ,1995,"rgb(102,118,35)",'398,Kazakhstan
KGZ,1995,"rgb(161,45,50)",'417,Kyrgyzstan
KIR,1995,"rgb(129,4,122)",'296,Kiribati
KNA,1995,"rgb(0,1,253)",'659,St. Kitts & Nevis
KOR,1995,"rgb(50,38,167)",'410,South Korea
LCA,1995,"rgb(7,10,238)",'662,St. Lucia
LTU,1995,"rgb(0,232,23)",'440,Lithuania
LVA,1995,"rgb(1,228,26)",'428,Latvia
MAC,1995,"rgb(89,33,134)",'446,Macao
