code,id,name,chinese_name
ALA,248,Åland islands,奥兰群岛
AFG,4,Afghanistan,阿富汗
ALB,8,Albania,阿尔巴尼亚
DZA,12,Algeria,阿尔及利亚
ASM,16,American Samoa,美属萨摩亚
AND,20,Andorra,安道尔
AGO,24,Angola,安哥拉
AIA,660,Anguilla,安圭拉
ATA,10,Antarctica,南极洲
ATG,28,Antigua and Barbuda,安提瓜和巴布达
ARG,32,Argentina,阿根廷
ARM,51,Armenia,亚美尼亚
ABW,533,Aruba,阿鲁巴
AUS,36,Australia,澳大利亚
AUT,40,Austria,奥地利
AZE,31,Azerbaijan,阿塞拜疆
BHR,48,Bahrain,巴林
BGD,50,Bangladesh,孟加拉
BRB,52,Barbados,巴巴多斯
BLR,112,Belarus,白俄罗斯
BEL,56,Belgium,比利时
BLZ,84,Belize,伯利兹
BEN,204,Benin,贝宁
BMU,60,Bermuda,百慕大
BTN,64,Bhutan,不丹
BOL,68,Bolivia,玻利维亚
BIH,70,Bosnia and Herzegovina,波黑
BWA,72,Botswana,博茨瓦纳
BVT,74,Bouvet Island,布韦岛
BRA,76,Brazil,巴西
IOT,86,British Indian Ocean Territory,英属印度洋领地
VGB,92,British Virgin Islands,英属维尔京群岛
BRN,96,Brunei,文莱
BGR,100,Bulgaria,保加利亚
BFA,854,Burkina Faso,布基纳法索
BDI,108,Burundi,布隆迪
CIV,384,Côte d'Ivoire,科特迪瓦
KHM,116,Cambodia,柬埔寨
CMR,120,Cameroon,喀麦隆
CAN,124,Canada,加拿大
CPV,132,Cabo Verde,佛得角
BES,535,Caribbean Netherlands,荷兰加勒比区
CYM,136,Cayman Islands,开曼群岛
CAF,140,Central African Republic,中非
TCD,148,Chad,乍得
CHL,152,Chile,智利
CHN,156,China,中国 内地
CXR,162,Christmas Island,圣诞岛
CCK,166,Cocos (Keeling) Islands,科科斯群岛
COL,170,Colombia,哥伦比亚
COK,184,Cook Islands,库克群岛
CRI,188,Costa Rica,哥斯达黎加
HRV,191,Croatia,克罗地亚
CUB,192,Cuba,古巴
CYP,196,Cyprus,塞浦路斯
CZE,203,Czech Republic,捷克
COD,180,Democratic Republic of the Congo,刚果（金）
DNK,208,Denmark,丹麦
DJI,262,Djibouti,吉布提
DMA,212,Dominica,多米尼克
DOM,214,Dominican Republic,多米尼加
ECU,218,Ecuador,厄瓜多尔
EGY,818,Egypt,埃及
SLV,222,El Salvador,萨尔瓦多
