date,subject,title,author,text
2020-11-09,人民时评,数字转型，推动中国制造升级,石  羚,"　　不断提高数字技术与制造业的融合程度，以新型消费提质扩容引领产业数字化转型，加快传统制造智能化脚步，中国制造必将赢得新优势
　　
　　“双11”前夕，各地工厂进入赶工备货的忙碌时刻。以前平均1000件起订、15天交付，如今100件起订、7天交货，一家服装工厂利用智能化调度排产系统，实现从“以产定销”到“以销定产”的转型；根据用户需求定制洗碗机、清洁机器人，一些家电企业完成了从“我生产什么你买什么”到“你要什么我生产什么”的转变。时下，越来越多的企业在定制生产领域进行探索，彰显着电子商务对生产制造的积极影响。
　　近年来，随着居民生活品质持续提升，网购从购实物到买服务，从注重“量”的满足转向追求“质”的提升，表现为高品质“尖货”备受追捧，旅游、娱乐等消费所占比例提升。这种消费升级的趋势，是需求侧和供给侧互相促进的结果，除了内需市场的坚实基础，生产制造转型升级也是重要原因。在消费热点的推动下，越来越多的商家意识到：数字技术为消费带来巨大变化，企业必须进入数字化转型的快车道，才能更好满足消费者的新需求。从这个角度看，定制生产、协同设计、精准供应链管理等尝试，正是制造业因应产业数字化趋势所做出的必然之举。
　　消费时点千亿量级的流量背后，是高度复杂且协调的操作系统，是支付、物流等多产业融合发展所形成的支撑体系。正是得益于大数据、云计算、人工智能等新一代数字技术的广泛应用，数字经济发展的基础日益夯实，制造业转型升级的动力不断汇聚。从开发“数字大脑”，实现“产、供、销、人、财、物”数据的智能挖掘，到建立物联网追溯体系，对加工、储运、流通全过程实时监控，数字技术成为传统制造业转型的重要动力。在消费互联网融入产业互联网的关键阶段，做好分析市场动向、优化生产决策、重组生产流程等工作，数字技术必将持续转化为制造业的产品优势、竞争优势。
　　从广袤的乡村到偏僻的山区，从开足马力的生产线到热火朝天的直播间，消费时点在释放消费潜力的同时激发出更多生产活力、带来更多发展机遇。一些平台搜集产地直发的源头好货，将“养在深山人未识”的产品运达全国各地；一些乡镇企业借助手机与镜头，以原汁原味的直播赢得消费者。尤其在疫情防控期间，数字经济向基层、向农村延伸，农村电商数字化转型速度加快，打破了零散乱的生产模式，推动形成更加高效、安全、绿色、智能的产销体系。可以说，乘着数字化转型的东风，更多地方和中小微企业获得了转型升级乃至弯道超车的机遇。
　　通过优化产业链、拓展制造业的边界，数字技术成为推动中国制造升级的重要途径。反过来说，正如“双11”考验着产业链响应速度及精准匹配度，中国制造升级也考验着数字技术的持续创新能力。只有持续加强研发应用并提升算力、优化算法，数字技术才能更好地助力“中国制造”迈向“中国智造”。今年的《政府工作报告》提出要加强新型基础设施建设，正是为了补齐短板，促进制造业技术改造和智能升级，为中国经济高质量发展垒土筑基。
　　形成经济增长新动力，塑造国际竞争新优势，重点在制造业，难点在制造业，出路也在制造业。“十三五”时期，数字经济对GDP增长贡献率超过六成，工业化和信息化融合步伐正在加快。面向“十四五”时期，不断提高数字技术与制造业的融合程度，以新型消费提质扩容引领产业数字化转型，加快传统制造智能化脚步，中国制造必将赢得新优势。
"
2020-11-09,现场评论,进博会为各国企业拓展商机,李洪兴,"　　进博会，以诚相待、以实惠人，中国同世界分享市场机遇，也为推动世界经济复苏注入更多动能
　　
　　大熊猫“进宝”，是中国国际进口博览会的吉祥物。在第三届进博会现场，能看到戴着口罩的“进宝”，提醒参展的人们做好防护工作。在确保防疫安全前提下，如期举办的这一全球贸易盛会，得到世界的关注。
　　为顺利参加本届进博会，同时符合防疫规定，一家德国科技公司的负责人早早准备，在隔离观察14天后参会。这也是该公司第三年参加进博会了，“一定要以最好的形象亮相”，如此执着参会的背后，是中国广阔市场的吸引力。习近平主席在第三届进博会开幕式上以视频方式发表主旨演讲指出，“让中国市场成为世界的市场、共享的市场、大家的市场”。进博会，以诚相待、以实惠人，中国同世界分享市场机遇，也为推动世界经济复苏注入更多动能。
　　突如其来的新冠肺炎疫情，虽然给各国带来严重冲击、给世界经济带来重创，但没有阻挡进博会的步伐。展览面积扩大了近3万平方米，首次设立的公共卫生防疫专区扩展到规划面积的6倍，世界500强和行业龙头企业踊跃参展……在展馆采访时发现，很多参展台位面积都不小，既有商品展示区又有合作洽谈区，大订单也有了大空间。一位参展商说，期待发掘更多市场机遇，与用户、合作伙伴碰撞出更多火花。展览规模更大、展区设置更优、展商质量更高，越办越好的进博会一定会更安全、精彩、富有成效。
　　疫情大流行给人们带来很多启示，其中一点就是提醒人们改变生活方式、树立健康理念。本届进博会的亮点之一就是医疗器械及医药保健展区，有人说这里堪称进博会上最受欢迎的展区。疫苗、医疗器械、药品、医疗服务备受关注，汇聚的全球医药及医疗器械领域的企业数量也比首届翻了一倍多。一家德国企业的展品是小药盒，分时、分区，既实用又有设计感。此前，这个企业因为不了解进博会而一直没有参加，今年在疫情背景下看到中国防疫十分有效，想方设法拿到了“入场券”。医药健康企业汇聚进博会，加速构筑一座“健康长城”，用优质产品助力提升人民健康。
　　进博会是开放平台，支持各国企业拓展中国商机。展馆的7号馆2层是新品发布专区，很多企业把这里作为全球新品首发地、前沿技术首选地、创新服务首推地。之所以如此看重这个平台，一位参展企业负责人表示：进博会的综合影响力和采购商的采购能力是其他任何展会都难以相提并论的。中国有14亿人口，中等收入群体超过4亿，是全球最具潜力的大市场。看到中国以开放共赢推动全球发展的决心，把握构建以国内大循环为主体、国内国际双循环相互促进的新发展格局所蕴藏的机遇，世界各经济体、企业就能在中国广阔的内需市场中共享源源不断的发展红利。
　　穿行于各展馆会发现，医疗器械及医药保健展区的布展色调是绿色。这是生命的颜色，也是生机活力的写照。中国继续扩大开放的姿态、各国主动参与的热情、企业积极用心的投入，都赋予进博会勃勃生机。走向开放、走向合作的大势没有变，进博会年年办、越办越好，参会参展的各国朋友也一定能广结良缘、满载而归。
　　（作者为本报评论部编辑）
"
2020-11-09,人民时评,让中医药在创新中传承,王君平,"　　前不久，《粤港澳大湾区中医药高地建设方案（2020—2025年）》发布，标志着大湾区中医药高地建设正式启动。这是贯彻落实习近平总书记关于中医药工作重要论述的具体行动。去年10月，习近平总书记对中医药工作作出重要指示、《中共中央国务院关于促进中医药传承创新发展的意见》发布、全国中医药大会召开，为促进中医药传承创新发展按下了快进键。一年多来，各地深入贯彻落实习近平总书记关于中医药工作重要指示精神，中医药守正创新的实践探索全面展开。
　　今天，人民群众日益增长的健康需求，正在让古老的中医药焕发勃勃生机；中医独特的健康观，也正在为人们提供全方位全周期的健康保障。今年以来，面对新冠肺炎疫情肆虐全球的大考，中医药交出一份出色答卷。以张伯礼、黄璐琦、仝小林3位院士为代表的中医药人，从古典医籍中挖掘精华，在传统方剂中寻找灵感，在现代科技中攻关突破，创造性、高效率地筛选出“三药三方”，为抗击疫情做出了重要贡献。《抗击新冠肺炎疫情的中国行动》白皮书指出：“中医药参与救治确诊病例的占比达到92%。湖北省确诊病例中医药使用率和总有效率超过90%。”推动中西医相互补充、协调发展，彰显了我国卫生健康事业显著优势，也更加坚定了我们中医药传承创新发展的信心与决心。
　　遵循中医药发展规律，立足根基，挖掘精华，保持特色，中医药才能根深叶茂、生生不息。一年多来，各地把遵循中医药发展规律作为政策制定的出发点和落脚点，加强中医药管理体系建设，进一步健全中医药管理机构，充实中医药人员力量。国务院中医药工作部际联席会议办公室的统筹协调，《中共中央国务院关于促进中医药传承创新发展的意见》的125项重点任务由牵头部门和参与部门逐一敲定，形成了共抓落实、协调推进的强大合力。建立健全中医药法规和政策举措，发展完善中医药管理体系、评价体系、标准体系，有力破除一系列制约中医药发展的难题，古老的中医药为健康中国建设提供新动力。
　　中医药事业越是迈向高质量发展，就越要推动中医药特色发展、内涵发展、融合发展。一年多来，凸显中医药优势的鲜活经验不断涌现，为中医药传承创新发展带来不竭动力。成就固然令人欣喜，但当前中医药发展还有很多地方需要“补短板、强弱项、激活力”。这就要求我们必须坚定中医药发展自信，遵循中医药发展规律，传承精华、守正创新，推动中医药现代化、产业化，坚持中西医并重，推动中医药事业和产业高质量发展，实现中医药创造性转化、创新性发展。在开启全面建设社会主义现代化国家的新征程上，中医药传承创新发展依然任重而道远。
　　习近平总书记强调：“要促进中医药传承创新发展，坚持中西医并重和优势互补，建立符合中医药特点的服务体系、服务模式、人才培养模式，发挥中医药的独特优势。”传承精华，中医药发展才能源远流长；守正创新，中医药发展才会清流激荡。在新的历史起点上，让我们落实好新发展理念，紧扣高质量发展要求，开创中医药传承创新发展新格局，为建设健康中国、实现中华民族伟大复兴的中国梦贡献力量。
"
2020-11-09,暖闻热评,拼搏绘就出彩人生,孙现富,"　　【人物】快递小哥李庆恒
　　【故事】最近，快递小哥李庆恒“火”了，作为浙江省杭州市评定的“高层次人才”，他获得了政府100万元购房补贴。1995年，李庆恒出生于安徽阜阳，来杭州从事快递工作5年。从最初的后台客服，到转运中心转运员，他凭着一股激情和韧劲练就一身绝技，对全国邮编、区号、航空代码烂熟于心，任意念一个快件上标注的号码，就能精准无误分拣到位，把普通的工作做到了极致。2019年，在浙江省第三届快递职业技能竞赛中，他赢得第一名，获颁省级“技术能手”奖状，并享受相应人才待遇。
　　【点评】
　　干一行，爱一行，说起来简单，做好不易。三百六十行、行行出状元，把平凡的事做到极致就是成功。快递员李庆恒用实际行动诠释了爱岗敬业的真谛，在平凡岗位绘就了出彩人生。
　　拼搏奋斗的人，首先要对职业葆有尊重和热爱。为了记住邮政编码、电话区号、航空代码等信息，李庆恒每天早起背记一个多小时；为强化记忆，每当看到汽车车牌，都会把相关城市信息在脑子里过一遍。数据上“信手拈来”、业务上“胸有成竹”，凭借汗水和艰辛凝聚成出色的职业素养，过硬的专业技能，李庆恒称得上“高层次人才”。
　　干好一件事容易，干到极致则需要更多耐心、细心和匠心。“蓝领院士”韩利萍，为确保火箭发射精准入轨，二十多年如一日，以“毫厘”见成败；“大国工匠”鹿新弟，每天忍受着柴油机发出的100多分贝噪声，三年完成上千次试验，成为名副其实的“发动机医生”。历数成大器者，都有着超出常人的执着和付出。在他们心中，这个过程有艰辛、有牺牲，但更多是在坚守中享受、在磨炼中成长。就像鹿新弟所说，“噪音”是最动听的音乐。
　　“李庆恒们”的成功，离不开国家对人才的大力扶持。李庆恒说，自己没有学历，感觉和人才搭不上边，正是有了好政策，才让不敢想的事情变成现实。从2015年开始，杭州创新评价方式，将包括快递员在内的很多一线基层工作者纳入高层次人才考核评价体系，并享受相应人才礼遇。目前，已累计认定17613名高层次人才，几乎涵盖各行各业。
　　机遇属于有梦想的人，成功永远青睐奋斗者。如今，李庆恒有了新目标，打算报考成人大专，争取评上高级工程师。后浪推前浪，奋斗最幸福，我们相信更多年轻人通过自己的努力，必定能活出不一样的人生，绽放出不同的精彩。
"
2020-11-09,新论,为改革开放提供有力法治保障,支振锋,"　　实现立法和改革决策相衔接，做到重大改革于法有据、立法主动适应改革和经济社会发展需要，十分重要
　　
　　习近平总书记在深圳经济特区建立40周年庆祝大会上的重要讲话中指出，深圳等经济特区40年改革开放实践，创造了伟大奇迹，积累了宝贵经验，深化了我们对中国特色社会主义经济特区建设规律的认识。其中一条宝贵经验，就是“使法治成为经济特区发展的重要保障”。
　　40年来，深圳地区生产总值从1980年的2.7亿元增至2019年的2.7万亿元，年均增长20.7%。辉煌成就，来自经济特区建设者们的披荆斩棘、埋头苦干，也离不开法治护航。从1980年深港合资企业试行劳动合同制，到1987年深圳市政府发布试行办法，打破“统包统配”的“铁饭碗”就业制度；从2001年深圳市颁布关于土地交易的地方性政府规章，到2019年全国首家独立运作的破产法庭在深圳揭牌成立……在先行一步的“试验田”上，深圳高度重视运用法治思维和法治方式，发挥法治的引领和推动作用，加强对相关立法工作的协调，确保在法治轨道上推进改革。2020年，中国社会科学院发布的一份调查报告显示，深圳法治环境指数得分位居全国第一。
　　改革和法治如鸟之两翼、车之两轮。经济特区的发展经验告诉我们，实现立法和改革决策相衔接，做到重大改革于法有据、立法主动适应改革和经济社会发展需要，十分重要。40年来，深圳在法治建设方面有着多个“全国率先”的创举。比如，率先建立土地使用权依法转让制度，率先出台企业信用地方立法，率先出台知识产权保护地方立法，等等。也正是有了立法和改革的良性互动，40年来，法治成为经济特区最好的营商环境，成为最能聚人聚财、最有利于发展的因素。在深圳发展的中外企业普遍认为，法治化和市场化已成为深圳最显著的城市特色，是这些企业选择深圳、扎根深圳、获得成功的最重要因素。事实证明，发挥企业创新主体作用，关键要打造市场化、法治化、国际化营商环境。
　　建设好中国特色社会主义先行示范区，创建社会主义现代化强国的城市范例，同样离不开法治引领。不久前，中共中央办公厅、国务院办公厅印发《深圳建设中国特色社会主义先行示范区综合改革试点实施方案（2020—2025年）》，同时以附件形式印发了首批授权事项清单。实施方案中的一项重点任务，就是打造市场化、法治化、国际化营商环境。放眼未来，推进改革与法治双轮驱动，需要用足用好经济特区立法权，推动立法与改革相互衔接，加强在人工智能、无人驾驶、大数据、生物医药等新兴领域的立法探索，支持新经济、新产业、新业态蓬勃发展。特别是要依法实施最严格的知识产权保护，努力打造国家知识产权示范城市，为企业营造一流的法治环境，建设法治标杆城市，努力让人民群众的获得感成色更足、幸福感更可持续、安全感更有保障。
　　一花独放不是春，百花齐放春满园。面对百年未有之大变局，我们总结经济特区建设经验，就是要在更高起点上推进改革开放，乘势而上开启全面建设社会主义现代化国家新征程，向第二个百年奋斗目标进军。在这个过程中，更好发挥法治的保障作用，在法治轨道上推动各项改革，就一定能书写更加灿烂的发展故事。
　　（作者为中国社会科学院习近平新时代中国特色社会主义思想研究中心、法学研究所研究员）
"
2020-11-10,人民时评,治理升级，优化数字经济环境,何  娟,"　　与时俱进地调整法规的内容、监管的形式，推动治理向科学化、精细化、精准化迈进，必将促使数字经济向规范化、法治化、绿色化发展
　　
　　“双11”网络购物节越来越近，各大电商平台拉开“预售”帷幕，各种优惠促销活动令人眼花缭乱，很多人早把心仪商品放进购物车，只等到时一键下单支付。与此同时，各地消费者权益保护委员会、市场监督管理局、公安局发出警示，提醒消费者谨防秒杀代拍、刷单返利、中奖免单等骗局，引导和鼓励广大消费者积极举报各类违法行为。消费者擦亮眼睛，监管部门保驾护航，将不断优化网络消费环境。
　　近年来，网络购物在激活消费新市场、推动居民就业、畅通经济循环等方面发挥了重要作用。截至今年6月，我国网络购物用户达7.49亿，2019年电子商务平台交易额达到34.8万亿元，网络经济指数对经济发展新动能指数增长的贡献率为80.5%。尤其是“直播带货”等新型消费模式的兴起和发展壮大，不仅催生了“直播销售员”等新职业，带动许多地区广大群众脱贫致富，更为数字经济注入了新的活力。不断刷新纪录的网购成交额，日均2亿件左右的快递，折射出中国市场巨大潜力，展现着网络消费的蓬勃活力。
　　与此同时，一些不合规、不合法经营行为也冲击着网络经济市场秩序。这其中，既有商品质量货不对板、产品假冒伪劣等问题，也出现一些线上交易的新问题。比如有的平台促销定价“先涨后降”、利用大数据“杀熟”、强迫商家“二选一”；有的商家有偿删差评刷好评，欺骗、误导消费者；有的直播间不够规范，导致消费者维权难。凡此种种，不仅使得网络交易参与主体合法权益受到损害，更严重扰乱市场秩序。重拳治理电商存在的“劣币驱逐良币”现象，势在必行。
　　网络不是“法外之地”，商品和服务上线后，相应的制度法规和有效监管也应“上线”、保持“在线”。近些年，从《中华人民共和国电子商务法》为电子商务奠定法律框架，到《视频直播购物运营和服务基本规范》等行业性标准规范直播购物行为，从持续开展“净网”“剑网”“清源”等专项治理行动，到推动建立快递绿色包装标准体系，我国在完善网络经济规章制度、优化网络消费环境方面持续发力。与此同时，执法和监管力度也在同步跟进。不久前，上海警方侦破该市首例利用“网红主播直播带货”形式销售假冒注册商标商品案，彰显了严厉打击售假、维护消费者权益的鲜明态度。加大对违规经营行为的打击力度，加强对平台、经营者及主播等的规范引导，才能打造更为放心、舒心的网络消费环境，夯实电子商务发展根基。
　　还要看到，随着互联网创新活力不断迸发，网购经济不断衍生出新模式新业态，在经营规范和权益保护方面不可避免会遇到新问题新挑战。今年9月，《关于以新业态新模式引领新型消费加快发展的意见》发布，明确提出要推动及时调整不适应新型消费发展的法律法规与政策规定，优化新型消费发展环境。不久前，国家市场监管总局公布了《网络交易监督管理办法（征求意见稿）》，拟对市场关注的热点问题进行进一步规范，并向社会公开征求意见。与时俱进地调整法规的内容、监管的形式，推动治理向科学化、精细化、精准化迈进，必将促使数字经济向规范化、法治化、绿色化发展，进一步激发数字经济潜力、释放网络消费活力，为中国经济高质量发展蓄势助力。
　　（本系列评论到此结束）
"
2020-11-10,NA,怒江两岸奏响脱贫乐章,李洪兴,"　　从实践看，脱贫攻坚特别是解决深度贫困问题，关键在党，关键在人，关键在加强组织领导、走好群众路线
　　
　　在云南省怒江傈僳族自治州福贡县的一家非遗扶贫就业工坊，易地搬迁的安置群众与老手艺人一起制作传统民族服饰，群众就业、产业发展与非遗传承实现共赢。采访快结束时，傈僳族群众聚在一起，唱起了歌：“我最亲爱的祖国，我永远紧依着你的心窝，你用你那母亲的脉搏和我诉说……”这首《我和我的祖国》，傈僳族群众一曲双唱，既有汉语版也有傈僳语版，歌声高亢悠扬，感染了现场听众。
　　歌声为何能直击人心？傈僳族群众用本民族语言唱起时，歌声在饱含深情中洋溢着家国眷恋，情愫超越了语言，变成敲击心扉的音符。一名干部说，“歌里充满着少数民族群众对党和政府的感恩之情”。在怒江地区采访，很多易地搬迁社区里都贴着“感恩”的标语。和群众交流时，无论问及就近就地务工还是搬入新家，或是大病保障、教育提质，他们说得最多的是“想不到”“感谢党和政府”。
　　少数民族群众这份情意，也是对基层党员干部、扶贫工作队的由衷赞美。没有强有力的党员干部队伍，脱贫攻坚战很难打赢打好；没有作风好的党员干部队伍，在脱贫攻坚过程中也很难树立党的良好形象。脱贫攻坚一线的广大党员干部积极投入、奉献付出，少数民族群众看在眼里，记在心里，对我们党的初心使命和以人民为中心的发展思想有了深刻认知。从全国情况看，一大批干部在脱贫攻坚战中得到锤炼，农村基层党组织凝聚力和战斗力明显增强，基层治理能力和管理水平明显提高，党群干群关系不断改善。
　　在怒江，为打赢脱贫攻坚战，党员干部尽锐出战，有扎根社区的“暖心团”，为易地搬迁群众提供包括居家服务、法律宣传、社会保障、就业就医等在内的服务；有从机关来的“背包工作队”，上山驻村，动员群众搬迁，不夺取脱贫攻坚战最后胜利不撤退；有不讲条件、不怕困难的“巾帼背包队”，深入高山峡谷中的村寨，用自身的亲和力宣传政策……自2016年以来，怒江有8000多名扶贫队员驻村入户，2万余名干部结对帮扶，用自己的辛苦指数换来群众的幸福指数。
　　从实践看，脱贫攻坚特别是解决深度贫困问题，关键在党，关键在人，关键在加强组织领导、走好群众路线。习近平总书记强调，深度贫困是坚中之坚，打这样的仗，就要派最能打的人，各地要在这个问题上下大功夫。这就要求扶贫干部真正沉下去，扑下身子到村里干，同群众一起干，只有做到人员到位、责任到位，才能实现工作到位、效果到位。同时，在加强外部人才支持的基础上，还要注重发掘“群众里的人才”、激活“村寨中的能人”，共同带动困难群众脱贫致富。
　　高山揽峡谷，怒江育精神。在怒江，干部群众常说“缺条件，不缺精神和斗志”。如今在各级党委、政府帮扶下，自然条件的不足也逐渐填平了：以前走路一腿泥，现在家家通硬化路；以前夜晚黑漆漆，现在电灯亮堂堂；以前住的木楞房，现在砖瓦新楼房……怒江两岸的人民群众已经跨越千年天堑，踏上创造美好生活的通衢大道。
"
2020-11-10,新论,加强大学生幸福能力培养,张庆亮,"　　近日，党的十九届五中全会审议通过了《中共中央关于制定国民经济和社会发展第十四个五年规划和二〇三五年远景目标的建议》，明确要求“不断增强人民群众获得感、幸福感、安全感，促进人的全面发展和社会全面进步”。可以说，“幸福感”是美好生活的重要内容。高校的根本任务在于立德树人，基本使命在于培养德智体美劳全面发展的社会主义建设者和接班人。大学生作为时代新人，如何理解幸福、感受幸福、追求幸福及创造幸福，不仅关系到其个体的健康成长，也关系到整个社会幸福感的提升。
　　幸福是一种体验，更是一种能力。因此，高校要把培养大学生幸福能力放在重要位置，帮助学生树立正确的幸福观念，培养学生认知幸福、体验幸福进而创造幸福生活的能力。随着我国经济社会的发展，当代大学生不缺少感受幸福的物质条件和精神条件，感受幸福的能力也需要相应提升。学校教育是培养人的幸福能力不可缺少的重要场所，大学阶段是培养学生幸福能力的重要关口，直接关系未来社会“人民幸福”的实现程度。
　　培养健康心理是提升大学生幸福能力的关键。幸福是一种主观的愉悦的情绪感觉和积极的心理状态。教育不能立刻改变每个人的生活环境和所处的境遇，却能改变人的思维方式和认知水平。因此，加强学生心理健康教育，培养学生良好的心理素质和高尚的人格，才能帮助他们正确认识自己、包容他人。其中的重要内容就是加强对学生的挫折教育和感恩教育，注重把解决实际问题与思想疏导相结合，引导学生发现问题、分析问题和解决问题，客观认识自己的长处与不足，辩证对待人生所遭遇的挫折甚至失败，帮助他们始终保持积极向上的精神状态。
　　加强品德修养是培养大学生幸福能力的根本。大学阶段是大学生世界观、人生观、价值观形成的重要阶段，也是加强品德修养的重要时期。人无德不立，育人的根本在于立德。大学生的品德修养主要包括理想信念和道德情操两个方面，这直接影响和决定其一生的幸福程度。面对世界局势的复杂多变，面对社会生活的纷纭万状，高校需要引导学生树立正确的世界观、人生观、价值观，通过发挥自身的聪明才智，创造真正意义上的幸福生活。
　　能力提升是培养大学生幸福能力的途径。一位哲学家说，真正令人满意的幸福总是伴随着充分发挥自身的才能来改变世界。提升能力是每个人回报社会、服务国家、实现人生价值的前提，是实现人生奋斗目标的基础，是创造幸福和实现幸福的保障。大学生要不断提升自身能力，这样不仅可以创造自身的幸福生活，而且还能更好地造福社会、惠及他人，为实现社会和谐、人民幸福贡献力量。这就需要加强学生综合素质、实践能力等的培养，将学生培养成全面发展的人，成为国家栋梁之材。
　　加强学生幸福能力的培育必须回归生活，把握实现幸福的方法。在人的一生中，人们对所从事的工作在不同的人生阶段会有不同的认知，一般会经历从工作到事业再到使命的过程。人生的最大价值在于把自己的智慧和能力奉献给自己钟爱的工作，把有限的宝贵生命与无限的使命追求结合起来，从而为社会进步、国家发展、人类文明作出更大的贡献，创造更大的幸福。
　　（作者单位：安徽省中国特色社会主义理论体系研究中心安徽师范大学基地）
"
2020-11-10,NA,帮助老年人乐享数字生活,喻思南,"　　加快制定法律法规，保护老年人在使用智能技术上的合法权益；建立“无码绿色通道”，采取替代措施；主动开展互联网适老化改造，提供“关怀模式”“长辈模式”的服务应用……前不久，北京市老龄办、老龄协会发出一份智慧助老的行动倡议书，提倡帮助老年人迈过“数字鸿沟”。同时，民政部有关负责人也表示，将重点推动解决老年人在民政服务中遇到的智能技术困难。让老年人乐享数字生活，更多行动在路上。
　　数字时代，老年人是不容忽视的网络用户群体。根据中国互联网络信息中心发布的数据，截至2020年6月，中国已有9.4亿网民，其中60岁及以上老年网民占10.3%。这意味着，我国约有9600万“银发网民”，规模不容小觑。因此，为“银发网民”画好像，了解他们的上网特点、兴趣偏好、网络需求，以及在网络空间遇到的各类问题难题，很有必要。
　　根据相关研究，当前“银发网民”面临的主要问题有两方面：其一，有些老年人想上网，却跟不上时代节奏，不会用智能手机和移动互联软件；其二，有些不法分子针对老年人上网布设陷阱，一些老年人网络识别和防范能力不强，容易轻信谣言、陷入骗局。无论哪种情况，都提醒我们，为老年人营造一个良好的网络空间，引导老年人健康上网、安全用网，应该成为全社会的共同课题。
　　科技发展是对人类的馈赠，老年人也应该成为受益群体。整体上看，数字时代的数字产品为人们的生活带来很多便利，应该更加注重解决老年人的使用难题，不能让他们由于不懂二维码、不懂APP而失去了通过手机看病挂号、打车出行的机会。比如，在车站、机场、公园、银行、医院、商场等公共场所，为老年人提供必要的信息引导和人工帮扶，就是弥补“数字鸿沟”的有益之举。
　　“数字鸿沟”要填平，清理那些针对老年人的“数字陷阱”同样不能忽视。中国社科院的一项报告显示，约2/3的受访中老年人在互联网有过上当受骗或者疑似上当受骗的经历。让老年人“会上网”，而且也要免于被骗，离不开构建一个健康安全的数字环境。比如，应用平台可以打造老年人专用模块，开启过滤、提醒等功能，将一些诈骗信息和病毒软件拦截在外；又如，一些手机厂家推出亲情守护模式，家人可以远程删掉垃圾短信、终止诱骗支付等。为老年人净网，需要全社会共同努力。比如，网络基础设施、软硬件应该从老年人实际出发设计友好使用程序，来自家庭成员的耐心劝导、情感陪伴也十分重要。服务更温馨，设计更合理，让权威、健康、有趣的内容真正传播到老年人身边，才能营造好善待老年人的数字生态。
　　我们不仅要尊重老年人在数字时代的权益，而且要构建守护“银发网民”的健康安全空间。迈入数字时代新征程，助老年人迈过“数字鸿沟”、越过“数字陷阱”，才能让老年人更好跟上时代、享受数字生活。
"
2020-11-10,人民时评,用良法善治呵护未成年人,徐  隽,"　　未成年人保护法的修订，正是要回应社会关切、关注堵点痛点、满足群众需求，保障未成年人的身心健康和合法权益
　　
　　突出家庭教育，完善学校、幼儿园的教育、保育职责；增设“网络保护”专章，努力实现对未成年人的线上线下全方位保护；增设“政府保护”专章，细化政府及其有关部门的职责……新修订的《中华人民共和国未成年人保护法》经十三届全国人大常委会第二十二次会议表决通过，为做好新时代未成年人保护工作提供了坚实法律保障。
　　未成年人保护法是未成年人保护领域最重要的一部法律，实施近30年来，在保障未成年人的合法权益、促进未成年人全面发展等方面发挥了重要作用。随着我国经济社会发展，未成年人保护面临许多新情况、新问题，迫切需要对未成年人保护法进行全面修订。比如，有的监护人存在监护不力甚至监护侵害情况；有的地方校园安全和学生欺凌问题频发；个别密切接触未成年人的行业，从业人员伤害未成年人问题时有发生；一些未成年人沉迷网络特别是网络游戏问题较为严重等。未成年人保护法的修订，正是要回应社会关切、关注堵点痛点、满足群众需求，保障未成年人的身心健康和合法权益。
　　“对损害少年儿童权益、破坏少年儿童身心健康的言行，要坚决防止和依法打击。”党的十八大以来，以习近平同志为核心的党中央采取各种措施营造有助于未成年人健康成长的良好社会环境。从出台《关于依法处理监护人侵害未成年人权益行为若干问题的意见》到修订《中华人民共和国未成年人保护法》，不断完善的法律、政策和举措加大了对少年儿童的保障力度，少年儿童健康成长的“保护伞”进一步撑牢。打开新修订的未成年人保护法，处处体现着对未成年人的保护和关爱。比如，新增最有利于未成年人原则，明确了监护人对未成年人的看护责任和具体要求，明确了网络服务提供者预防未成年人沉迷网络有关义务，明确了学校、幼儿园建立预防性侵害、性骚扰未成年人的工作制度，明确了在未成年人的监护人不能履行监护职责时由国家承担监护职责，等等。
　　未成年人保护是一项系统工程，立法修法已经迈出良法善治的第一步，尊法、学法、守法、用法、执法等工作需要紧密开展起来。家庭是未成年人最先开始生活和学习的地方，未成年人的监护人必须明确和履行好各项家庭监护职责，创造良好、和睦、文明的家庭环境。学校是未成年人成长过程中至关重要的场所，必须从“教书育人”方面落实教育、保育职责，从“安全保障”方面强化校园安全的保障机制以及突发事件的处置措施。社会环境是未成年人成长的大背景大环境，全社会应当树立关心、爱护未成年人的良好风尚，保障未成年人在网络空间的合法权益。各级人民政府及有关部门在未成年人保护工作中承担着法定职责，必须落实好保障未成年人受教育的权利、保障校园安全、完善家庭教育指导服务等方面职责。公检法机关也需要确定专门机构或者指定专门人员，负责办理涉及未成年人案件。
　　青少年是祖国的花朵，是民族的未来。以未成年人保护法修订为契机，加强对未成年人保护的法治宣传教育，增强未成年人的法治意识和自我保护意识，这部充满智慧和关怀的法律一定能守护好民族的未来，为培养担当民族复兴大任的时代新人贡献力量。
"
