import_index,export_index,unknown1,lnXniXnn,lnX'niX'nn,dist1,dist2,dist3,dist4,dist5,dist6,border,r_and_d,human_capital,unknown2,labor,wage,common_language,both_in_EU,both_in_EFTA,distance
1,1,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2,90,-6.5,-7.41,0,0,0,0,0,1,0,-0.321,-0.017,3.72,-0.795,0.136,0,0,0,9.89
1,3,90,-5.97,-10.1,0,0,0,0,0,1,0,0.545,0.07,4.98,-0.67,0.406,0,0,0,10.4
1,4,90,-5.11,-5.83,0,0,0,0,0,1,0,1.23,0.135,0.181,0.489,0.359,1,0,0,10
1,5,90,-6.59,-8.21,0,0,0,0,0,1,0,-0.541,-0.233,3.99,-1.04,0.272,0,0,0,9.97
1,6,90,-6.08,-6.46,0,0,0,0,0,1,0,-0.504,0.217,1.9,-1.15,0.511,0,0,0,9.45
1,7,90,-4.89,-5.18,0,0,0,0,0,1,0,2.54,0.09,3.85,1.16,0.41,0,0,0,10.5
1,8,90,-3.86,-3.92,0,0,0,0,0,1,0,2.96,0.169,4.74,1.33,0.459,0,0,0,9.99
1,9,90,-8.02,-9.09,0,0,0,0,0,1,0,-2.9,-0.037,3.54,-0.742,-0.424,0,0,0,9.45
1,10,90,-4.65,-4.53,0,0,0,0,0,1,0,1.63,0.046,4.46,1.06,0.19,0,0,0,10.1
1,11,90,-2.8,-2.04,0,0,0,0,1,0,0,3.35,0.083,5.01,2.27,0.24,0,0,0,4.92
1,12,90,-5.71,-8.8,0,0,0,0,0,1,0,1.16,0.083,5.1,-0.264,0.396,0,0,0,10.3
1,13,90,-4.3,-4.96,0,0,1,0,0,0,0,-2.21,0.061,1.73,-1.67,-0.245,1,0,0,1.44
1,14,90,-7.02,-8.14,0,0,0,0,0,1,0,-0.433,0.058,1.78,-1.32,0.483,0,0,0,9.93
1,15,90,-8,-8.98,0,0,0,0,0,1,0,-2.56,-0.291,3.88,-0.605,-0.991,0,0,0,11.2
1,16,90,-6.66,-6.69,0,0,0,0,0,1,0,-0.045,0.107,3.55,0.556,-0.083,0,0,0,10.9
1,17,90,-5.16,-5.89,0,0,0,0,0,1,0,0.86,0.1,2.15,-0.602,0.446,0,0,0,9.7
1,18,90,-3.66,-4.04,0,0,0,0,0,1,0,2.79,-0.026,4.66,1.25,0.18,1,0,0,10.769
1,19,90,-2.61,-2.18,0,0,0,0,0,1,0,4.74,0.327,2.49,2.72,0.491,1,0,0,9.39
2,1,90,-8.85,-7.94,0,0,0,0,0,1,0,0.321,0.017,-3.72,0.795,-0.136,0,0,0,9.89
2,2,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2,3,90,-3.88,-7.08,0,1,0,0,0,0,0,0.867,0.087,1.25,0.125,0.269,0,0,0,0.57
2,4,90,-5.92,-5.73,0,0,0,0,1,0,0,1.55,0.152,-3.54,1.28,0.223,0,0,0,4.09
2,5,90,-5.4,-6.11,0,1,0,0,0,0,0,-0.219,-0.215,0.264,-0.247,0.136,0,0,0,0.545
2,6,90,-5.31,-4.79,0,0,1,0,0,0,0,-0.182,0.234,-1.83,-0.358,0.375,0,0,1,0.894
2,7,90,-3.48,-2.87,0,1,0,0,0,0,0,2.86,0.107,0.122,1.96,0.274,0,0,0,0.645
2,8,90,-1.11,-0.258,1,0,0,0,0,0,1,3.28,0.187,1.02,2.13,0.323,1,0,0,0.326
2,9,90,-6.26,-6.43,0,0,1,0,0,0,0,-2.58,-0.02,-0.18,0.053,-0.56,0,0,0,0.795
2,10,90,-2.75,-1.72,0,1,0,0,0,0,1,1.95,0.063,0.736,1.85,0.054,0,0,0,0.475
2,11,90,-3.61,-1.94,0,0,0,0,1,0,0,3.67,0.1,1.29,3.06,0.104,0,0,0,5.69
2,12,90,-4.03,-6.21,0,1,0,0,0,0,0,1.48,0.1,1.38,0.531,0.259,0,0,0,0.583
2,13,90,-9.31,-9.06,0,0,0,0,0,1,0,-1.89,0.079,-1.99,-0.878,-0.381,0,0,0,11.3
2,14,90,-5.99,-6.2,0,0,1,0,0,0,0,-0.112,0.075,-1.95,-0.529,0.347,0,0,1,0.842
2,15,90,-5.58,-5.65,0,0,1,0,0,0,0,-2.24,-0.273,0.156,0.19,-1.13,0,0,0,1.43
2,16,90,-5.12,-4.25,0,0,1,0,0,0,0,0.276,0.124,-0.174,1.35,-0.219,0,0,0,1.13
2,17,90,-4.39,-4.21,0,0,1,0,0,0,0,1.18,0.118,-1.57,0.194,0.31,0,0,1,0.775
2,18,90,-3.91,-3.38,0,0,1,0,0,0,0,3.11,-0.008,0.937,2.05,0.044,0,0,0,0.769
2,19,90,-3.9,-2.56,0,0,0,0,1,0,0,5.06,0.344,-1.23,3.51,0.355,0,0,0,4.7
3,1,90,-5.4,-1.29,0,0,0,0,0,1,0,-0.545,-0.07,-4.98,0.67,-0.406,0,0,0,10.4
3,2,90,-3.68,-0.484,0,1,0,0,0,0,0,-0.867,-0.087,-1.25,-0.125,-0.269,0,0,0,0.57
3,3,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3,4,90,-4.46,-1.07,0,0,0,0,1,0,0,0.687,0.065,-4.79,1.16,-0.046,0,0,0,3.54
3,5,90,-4.08,-1.59,0,1,0,0,0,0,0,-1.09,-0.302,-0.989,-0.373,-0.133,0,1,0,0.475
3,6,90,-4.16,-0.44,0,0,1,0,0,0,0,-1.05,0.147,-3.08,-0.483,0.105,0,0,0,1.02
3,7,90,-0.716,3.1,1,0,0,0,0,0,1,2,0.02,-1.13,1.83,0.004,1,1,0,0.165
3,8,90,-0.29,3.76,0,1,0,0,0,0,1,2.41,0.1,-0.236,2,0.054,0,1,0,0.403
3,9,90,-5.76,-2.72,0,0,1,0,0,0,0,-3.45,-0.107,-1.43,-0.072,-0.829,0,1,0,1.3
3,10,90,-1.9,2.33,0,1,0,0,0,0,0,1.08,-0.024,-0.518,1.73,-0.216,0,1,0,0.735
3,11,90,-2.7,2.17,0,0,0,0,1,0,0,2.81,0.013,0.032,2.94,-0.165,0,0,0,5.89
3,12,90,-0.76,0.254,1,0,0,0,0,0,1,0.614,0.013,0.126,0.406,-0.01,0,1,0,0.106
3,13,90,-5.95,-2.5,0,0,0,0,0,1,0,-2.75,-0.009,-3.25,-1,-0.651,0,0,0,11.6
3,14,90,-3.75,-0.755,0,1,0,0,0,0,0,-0.979,-0.012,-3.2,-0.654,0.077,0,0,0,0.675
3,15,90,-4.39,-1.27,0,0,1,0,0,0,0,-3.11,-0.361,-1.1,0.065,-1.4,0,1,0,1.06
3,16,90,-3.19,0.889,0,0,1,0,0,0,0,-0.59,0.037,-1.43,1.23,-0.488,0,1,0,0.817
3,17,90,-2.69,0.69,0,0,1,0,0,0,0,0.314,0.031,-2.83,0.068,0.04,0,0,0,0.798
